"hash_number_A","target"
1038945,0.074
1039349,0.012
1040257,0.008
1041031,0.006
1043928,0.012
1044159,0.002
1044236,0.052
1044364,0.016
1044794,0.03
1045067,0.1
1045080,0.036
1045164,0.084
1045471,0.254
1046215,0.214
1046628,0.004
1046665,0.036
1046742,0.002
1047526,0.036
1048449,0.016
1049260,0.024
1050401,0.008
1051296,0.01
1054637,0.052
1054734,0.026
1055315,0.008
1055565,0.094
1055804,0.032
1057305,0.082
1058530,0.204
1059220,0.002
1059290,0.048
1060535,0.114
1063488,0.104
1064583,0.02
1064677,0.06
1064881,0.004
1065740,0.006
1065909,0.112
1066328,0.026
1066774,0.218
1066983,0.02
1067599,0.014
1067887,0.012
1068103,0.13
1068656,0.002
1070245,0.01
1070290,0.006
1070679,0.036
1070808,0.058
1070891,0.198
1071191,0.036
1072343,0.06
1072435,0.028
1072711,0.006
1074503,0.034
1076585,0.022
1079774,0.092
1080340,0.05
1081043,0.08
1081722,0.272
1082761,0.006
1084389,0.03
1086691,0.102
1088175,0
1088324,0.038
1089193,0.11
1089475,0.126
1090367,0.184
1091526,0.06
1091570,0.148
1092579,0.008
1094291,0
1096178,0.19
1096323,0.116
1096923,0.012
1097230,0.048
1097332,0.05
1098983,0.018
1099082,0.002
1099379,0.034
1101093,0.008
1101493,0.138
1102496,0.206
1103414,0.052
1103562,0.002
1104265,0.038
1104991,0
1105214,0.002
1105567,0.01
1106549,0.05
1108269,0.132
1109407,0.096
1110278,0.072
1110408,0.034
1110931,0.096
1111748,0.206
1112267,0
1113307,0.076
1113788,0.012
1115576,0.054
1116654,0.22
1116723,0
1117643,0.066
1118666,0.248
1119270,0.212
1120626,0.008
1121196,0.166
1121569,0.316
1121603,0.078
1121877,0.138
1122350,0.04
1122493,0.004
1124214,0.028
1124653,0.05
1125199,0.018
1125616,0.044
1125806,0.01
1126198,0.04
1126503,0.008
1128462,0.16
1128839,0.142
1129185,0.11
1129613,0.06
1130502,0.09
1130895,0.078
1131635,0.164
1132687,0
1133020,0.01
1133364,0.01
1134462,0.022
1134585,0.124
1134625,0.014
1135919,0.044
1136172,0.12
1136671,0.004
1136849,0.006
1137583,0.022
1137723,0.012
1138817,0.15
1139153,0.096
1139300,0.014
1140304,0.088
1140455,0.012
1141003,0.008
1143098,0.008
1144500,0.022
1146458,0.018
1147102,0.164
1147768,0.058
1148228,0
1148277,0.026
1148645,0.076
1148945,0
1150031,0.018
1150340,0.066
1150512,0.126
1150751,0.158
1151049,0.182
1151241,0.052
1151648,0.112
1152136,0.106
1153408,0.184
1153603,0.004
1153907,0.092
1155152,0.164
1155186,0.004
1155459,0.17
1158696,0.042
1159385,0.218
1160091,0.092
1160983,0
1161098,0.024
1161745,0
1162215,0.116
1162631,0.01
1163156,0.064
1163610,0.088
1163631,0
1163669,0.232
1164753,0.022
1164850,0.09
1166818,0.236
1166971,0.152
1168926,0.158
1169848,0.05
1173136,0.148
1173878,0.008
1174610,0
1175002,0.044
1175018,0.024
1176731,0.158
1176743,0.052
1177489,0.012
1178541,0.024
1178863,0.19
1178973,0.022
1179741,0.162
1180052,0.018
1181501,0.014
1181815,0.046
1182240,0.102
1182279,0.138
1182926,0.122
1183288,0.024
1184005,0.006
1184756,0.142
1184913,0.004
1186446,0.012
1186808,0
1189045,0.054
1189768,0.006
1189943,0.388
1190084,0.076
1190724,0.11
1191197,0.096
1191266,0.004
1192954,0.178
1193745,0.172
1194137,0.002
1194700,0.172
1195596,0.33
1196402,0.008
1198572,0.014
1198590,0.074
1198761,0
1200178,0.084
1200417,0.04
1200426,0.07
1205827,0.088
1205841,0
1206354,0.152
1206385,0.122
1206529,0.002
1206551,0.26
1207123,0.024
1208352,0.002
1209474,0.128
1209898,0.074
1210035,0.174
1210552,0.168
1211843,0.052
1214295,0.046
1214312,0.132
1214440,0.106
1214766,0.004
1216102,0.098
1216404,0.108
1599687,0.158
1600878,0.012
1601667,0.046
1602346,0.006
1602379,0.052
1602468,0.104
1603267,0.134
1603525,0.038
1603527,0.024
1605770,0.052
1606744,0.086
1607520,0.016
1608065,0.132
1608152,0.022
1609534,0.002
1610594,0.004
1610829,0.012
1611229,0.07
1611919,0.044
1612212,0
1612754,0
1612880,0.022
1613463,0.08
1614498,0
1615503,0.174
1616608,0.034
1618774,0.074
1619882,0.004
1619908,0.038
1619942,0.01
1621276,0.056
1621464,0.022
1621679,0.104
1622344,0.016
1622962,0.318
1625095,0.074
1626065,0.026
1626914,0.038
1626969,0.012
1626985,0.032
1627807,0.112
1627925,0.312
1630085,0.14
1630135,0.146
1630553,0.028
1631907,0.224
1632266,0.116
1632452,0.126
1632509,0.32
1634008,0.142
1634131,0.15
1634349,0.004
1634506,0.146
1634697,0.148
1635456,0.186
1636295,0.018
1637813,0.05
1637911,0.074
1638782,0.006
1639264,0
1641421,0
1641584,0.146
1642654,0.258
1642884,0.038
1643936,0.012
1646458,0.084
1646742,0.102
1647580,0.166
1648768,0.16
1650169,0.152
1651944,0.144
1652055,0.002
1655011,0.276
1655846,0.06
1656220,0.236
1656457,0
1658241,0.024
1658524,0.02
1658661,0.066
1661055,0.122
1661300,0.048
1661310,0.118
1662027,0.11
1663950,0.104
1664857,0.01
1665958,0.016
1665978,0.018
1666050,0.038
1670269,0.096
1671491,0.016
1672687,0.012
1672922,0.02
1673215,0.048
1673418,0.02
1674103,0.032
1674839,0.006
1675857,0.024
1676432,0.008
1677170,0.174
1677399,0.084
1678107,0.006
1678884,0.158
1678996,0.01
1680584,0
1680766,0.018
1681998,0.088
1682922,0.084
1683003,0.162
1683871,0.088
1684193,0.23
1684465,0.092
1686004,0.02
1686197,0.126
1686394,0
1686836,0.114
1686929,0.058
1689842,0.02
1691118,0.118
1691175,0.048
1691376,0.022
1695316,0.008
1696219,0.018
1696813,0.012
1699224,0.142
1699807,0.01
1700113,0.044
1700155,0.028
1700406,0.228
1701442,0.106
1701566,0.004
1701978,0.04
1702129,0.15
1702219,0.15
1702722,0.07
1704001,0.022
1704483,0.046
1705454,0.038
1705961,0.124
1706197,0.13
1706566,0.004
1707353,0.228
1708499,0.088
1711082,0.042
1711326,0.06
1712519,0.06
1713713,0.156
1714053,0.226
1714161,0.026
1715614,0
1715693,0.242
1716243,0.156
1722986,0.042
1724538,0.014
1727716,0.032
1728814,0.002
1729224,0.042
1729628,0.054
1730898,0.16
1731537,0.026
1733299,0.052
1734141,0.19
1734221,0.118
1737780,0.068
1738121,0.132
1738240,0.07
1740051,0.092
1740544,0.096
1740695,0.116
1741645,0.02
1744444,0.064
1744454,0.112
1745387,0.132
1746150,0.012
1746982,0.118
1747346,0.038
1747876,0.148
1748648,0.062
1752684,0.172
1754291,0.01
1755831,0.06
1756750,0.01
1756776,0
1756797,0
1757330,0.068
1757771,0.18
1758073,0.212
1761416,0.032
1763878,0.084
1764325,0.022
1764512,0.02
1764525,0.034
1766187,0.066
1767134,0.19
1768471,0.026
1768621,0.028
1773575,0.144
1774538,0.078
1774985,0.206
1776775,0.056
1777024,0.016
1779738,0.174
1781567,0.112
1781739,0.014
1783000,0.1
1783837,0.004
1784021,0.104
1784687,0.002
1784766,0.192
1786909,0.038
1788035,0.002
1788663,0.18
1788781,0
1789470,0.016
1790935,0.14
1791800,0.172
1792836,0.172
1792996,0.23
1793436,0.018
1794670,0.13
1795418,0.018
1795638,0.056
1795931,0.328
1796145,0.186
1796840,0.004
1798509,0.01
1799784,0.042
1802883,0.054
1803482,0.094
1804978,0.016
1808110,0.014
1808832,0.132
1809750,0.124
1811702,0
1813152,0.02
1813214,0.096
1813438,0.18
1813738,0.004
1814114,0.066
1814592,0.164
1817501,0.036
1817613,0.122
1817926,0.12
1819133,0.108
1820210,0.012
1820298,0
1822496,0.002
1824887,0.012
1826129,0.162
1827110,0.04
1827498,0.004
1828216,0.09
1832601,0.062
1832813,0.154
1832896,0.014
1834478,0.078
1835404,0.096
1837363,0.014
1838108,0.136
1838856,0.026
1839398,0.072
1839874,0.02
1840991,0.048
1841585,0.006
1841993,0.004
1843578,0.002
1844290,0.006
1845723,0.178
1846050,0.1
1846598,0.006
1846903,0.084
1847301,0.056
1847350,0
1847897,0.038
1848698,0.034
1848872,0.12
1849113,0
1849726,0.008
1851346,0.002
1851543,0.044
1851865,0.066
1852184,0.034
1853011,0
1853412,0.01
1853865,0.04
1855344,0.276
1855382,0.072
1857610,0.044
1857928,0.012
1858324,0.022
1859141,0.024
1860088,0.064
1861511,0.024
1861618,0.034
1861782,0.212
1861808,0.176
1862135,0.026
1862979,0.046
1864176,0.036
1867425,0.066
1868152,0.032
1869300,0.184
1870283,0.128
1870635,0.136
1873508,0.058
1873823,0.012
1876044,0.092
1876083,0.154
1876475,0.016
1876536,0.022
1877719,0.014
1878506,0.098
1879231,0.002
1879258,0.012
1879849,0.048
1880170,0.07
1880210,0.016
1880822,0.014
1881119,0
1881839,0.09
1882330,0.004
1882825,0.1
1883143,0.134
1884288,0.044
1884826,0.004
1887014,0.108
1887614,0.016
1888127,0.092
1888195,0.104
1888708,0.028
1889370,0.086
1889844,0.072
1890179,0.13
1891071,0.068
1891115,0.016
1891194,0.032
1891205,0.004
1891619,0.024
1893275,0.252
1893416,0.17
1893814,0.102
1895111,0.038
1895758,0.026
1896300,0.006
1896352,0.05
1896526,0.31
1897442,0.142
1898102,0.046
1898253,0.134
1901289,0.008
1901689,0
1901920,0.12
1902897,0.08
1905088,0.004
1905568,0.05
1906440,0.184
1907516,0.036
1908832,0.004
1909571,0.018
1911260,0.066
1912954,0.008
1913590,0.082
1914622,0.008
1915480,0.082
1916275,0.15
1917572,0.238
1917636,0.024
1919390,0.014
1922969,0.228
1923604,0.014
1923928,0.084
1924268,0.036
1926110,0.216
1928694,0.072
1929946,0.072
1930964,0.016
1931037,0.006
1931449,0.256
1932431,0.024
1934060,0.002
1936375,0.148
1937056,0.136
1937171,0.022
1937215,0.014
1939226,0.006
1940847,0.062
1941041,0.138
1941328,0.174
1941672,0.114
1942554,0.064
1942621,0.14
1944335,0.002
1946592,0.008
1946673,0.012
1946826,0.006
1947575,0
1947731,0.044
1951425,0.216
1951507,0.056
1952869,0.036
1954441,0.064
1954932,0.006
1955310,0.034
1955352,0.02
1958072,0.008
1960884,0.01
1961182,0.216
1961418,0
1961743,0.142
1961763,0.11
1962487,0.002
1962710,0.01
1965150,0.072
1966625,0.18
1966986,0.052
1967760,0.258
1968251,0.03
1969414,0.118
1969944,0.224
1971686,0.078
1971741,0.116
1973143,0.014
1974053,0.012
1974367,0.018
1974951,0.018
1975653,0.074
1979464,0.064
1980333,0.088
1981016,0.068
1981421,0.008
1981734,0.07
1982614,0.174
1983636,0.146
1984175,0.076
1984435,0.092
1984825,0.014
1985104,0.12
1985646,0.136
1986534,0.048
1987717,0.09
1987932,0
1988593,0.154
1988965,0.076
1989903,0.03
1990180,0.26
1990500,0.082
1991333,0.1
1991531,0.032
1992520,0.042
1992994,0.046
1993140,0.058
1993468,0.04
1994128,0.002
1994236,0.13
1994448,0.01
1996458,0.048
1999152,0.04
2000041,0.018
2001689,0.034
2002754,0.006
2003407,0.184
2004310,0.042
2006761,0.248
2006886,0.312
2008288,0.104
2009826,0.076
2010096,0.158
2010169,0.01
2011228,0.034
2011267,0.156
2011341,0.118
2011759,0.042
2014325,0.366
2015341,0.034
2016542,0.16
2016778,0.018
2016945,0.096
2017409,0.004
2017647,0.094
2018063,0.006
2018291,0.044
2018440,0.06
2020984,0.08
2021474,0.01
2022778,0.036
2023446,0.036
2024374,0.03
2024544,0.152
2025550,0.054
2026444,0.134
2027486,0.132
2027489,0.214
2028053,0.032
2028211,0.004
2028377,0.052
2436237,0.008
2436882,0.048
2437269,0.178
2437478,0.16
2438203,0.184
2439052,0.2
2442512,0.048
2442604,0.318
2443429,0.07
2443909,0.226
2445083,0.06
2446010,0.084
2446519,0.024
2447376,0.004
2447811,0.018
2448055,0.136
2448175,0.216
2448567,0.05
2448832,0.002
2450112,0.056
2450723,0.144
2451374,0.052
2453096,0.012
2456154,0.086
2458254,0.228
2458482,0.024
2459078,0
2459269,0.118
2459896,0.014
2460255,0.008
2462217,0.004
2462943,0.22
2464395,0.058
2464445,0.102
2465345,0.024
2465722,0.048
2467139,0.082
2467527,0.102
2467964,0.118
2468060,0.002
2469402,0.028
2469459,0.006
2470082,0.052
2472902,0
2473132,0.01
2473149,0.088
2473837,0.174
2474823,0.06
2474869,0.082
2475413,0.106
2475762,0.046
2475786,0.004
2476329,0.05
2476650,0.006
2476876,0.004
2477087,0.002
2477225,0.062
2477458,0.112
2477473,0.014
2478864,0.012
2479552,0.018
2479810,0.006
2480605,0.036
2480764,0.202
2481679,0.208
2481964,0.006
2483299,0.002
2484928,0.042
2485901,0.014
2486045,0.252
2486451,0.056
2486495,0.014
2486825,0.02
2486833,0.002
2487408,0.006
2488456,0.042
2488520,0.01
2488928,0.158
2489994,0.022
2490039,0.286
2491477,0.008
2491974,0.002
2492215,0.1
2492491,0.028
2492624,0.076
2492674,0.002
2493192,0.106
2493618,0.166
2493661,0.004
2494819,0.01
2494885,0.048
2495264,0.006
2495670,0.134
2496473,0.01
2497221,0.208
2497840,0.244
2498071,0.188
2498341,0.18
2498680,0.174
2498811,0.13
2499455,0.006
2499896,0.012
2499984,0.054
2500486,0.056
2501262,0.144
2501340,0.058
2502022,0.002
2502926,0.004
2503221,0.038
2504186,0.16
2504858,0.042
2505041,0.006
2505469,0.21
2506155,0.238
2506190,0.026
2506742,0.014
2507888,0.156
2508697,0.142
2509632,0.148
2509697,0.262
2510844,0.144
2511498,0.016
2511517,0.05
2513288,0.276
2513500,0.056
2515554,0.022
2516358,0.078
2518487,0.114
2519419,0.204
2519791,0.112
2519940,0.17
2520858,0.01
2521263,0.006
2521569,0.032
2522887,0.062
2523483,0.146
2524200,0.114
2525323,0.096
2525370,0
2525455,0.028
2525994,0.072
2528584,0.094
2529155,0.208
2529383,0.218
2530057,0.062
2530391,0.03
2530921,0
2531171,0.01
2534632,0.034
2535083,0.14
2535107,0.008
2539319,0.004
2539730,0.004
2540462,0.236
2541122,0.09
2541593,0.014
2541896,0.1
2542022,0.146
2542222,0.044
2542984,0.02
2543385,0.046
2544375,0
2545351,0.008
2545354,0.19
2546130,0.028
2546350,0.182
2549377,0.004
2550485,0.086
2550980,0.016
2551054,0.066
2551367,0.206
2551712,0.082
2552330,0.014
2554062,0.074
2554190,0.102
2556989,0.026
2557153,0.094
2558622,0.006
2559209,0.172
2562313,0.158
2563706,0.162
2564451,0.046
2565360,0.028
2565922,0.122
2566433,0.044
2566636,0.08
2566674,0.096
2566692,0.098
2566856,0.054
2572047,0.114
2574453,0.058
2576365,0.058
2577406,0.036
2577857,0.096
2579126,0.108
2579600,0.04
2579723,0.018
2579773,0.12
2579882,0.008
2580294,0.042
2580369,0.028
2581706,0.004
2582963,0.072
2583138,0.066
2583276,0.082
2583439,0.202
2583456,0.02
2584373,0.032
2584499,0.05
2586132,0.022
2586695,0
2587015,0.096
2588768,0.022
2589227,0.052
2589621,0.032
2589883,0.012
2590023,0.13
2590894,0.016
2591819,0.072
2592162,0.012
2593465,0.04
2593977,0.208
2594372,0.008
2595314,0
2597052,0.192
2597831,0.04
2599037,0.16
2599157,0.04
2602729,0.1
2602995,0.128
2603747,0.062
2604239,0.114
2604402,0.126
2604684,0.152
2605796,0.196
2606446,0.092
2607948,0.06
2609167,0.048
2609938,0.264
2611346,0.016
2611468,0.07
2612052,0.206
2612697,0.134
2613008,0.02
2613364,0.238
2615318,0.092
2617763,0.16
2619590,0.094
2621534,0.018
2624309,0.06
2624519,0.024
2624543,0.102
2624759,0.028
2626943,0.038
2627341,0.018
2628293,0.022
2630355,0.002
2632471,0.044
2633617,0.056
2633892,0.114
2635576,0.074
2636441,0.022
2637903,0
2638122,0.12
2642929,0.134
2643005,0.19
2643059,0.008
2643807,0.034
2644018,0.062
2644690,0.016
2644704,0.004
2647714,0.09
2647831,0.01
2647978,0.008
2648978,0.024
2649190,0.07
2649378,0.078
2650159,0.204
2650350,0.136
2651456,0.078
2651909,0.038
2652651,0.048
2655999,0.032
2656353,0.028
2656969,0.112
2657307,0.048
2657587,0.322
2657935,0.012
2660891,0.006
2661295,0.114
2661411,0.006
2661767,0.024
2663759,0.248
2666371,0.02
2666935,0.068
2667071,0.012
2667085,0.218
2667233,0.22
2668776,0.03
2669219,0
2669558,0.04
2670237,0.002
2670307,0.022
2670761,0.002
2671872,0.042
2672905,0.09
2674623,0
2674916,0.002
2676356,0.324
2677076,0.02
2678730,0.026
2679415,0.11
2680485,0.046
2683250,0.15
2683781,0.014
2683881,0.086
2684435,0.062
2684750,0.06
2687683,0.224
2687906,0.076
2688178,0.004
2688666,0.012
2688902,0.058
2689107,0.172
2689496,0.018
2690935,0.184
2693961,0.26
2694999,0.026
2696738,0.014
2698816,0.132
2698983,0.174
2699678,0.074
2700102,0.018
2701731,0.2
2702327,0.104
2702718,0.084
2702991,0.112
2703379,0.086
2704305,0.212
2704891,0.04
2705178,0.078
2705235,0.098
2705480,0.102
2706511,0.186
2706650,0.076
2707261,0.01
2707699,0.154
2707984,0.088
2708559,0.14
2709062,0.094
2709998,0.094
2711075,0.066
2711718,0.032
2712759,0.046
2714090,0.01
2714397,0.086
2715096,0.084
2717974,0.102
2718509,0.01
2719144,0.116
2720309,0.004
2720366,0.024
2720849,0.024
2721356,0.136
2721784,0.09
2722663,0.018
2723144,0.032
2723348,0.044
2724516,0.002
2725303,0.054
